Company Name,ESG Rating,ESG Report Conclusion
"Darden Restaurants, Inc.2024",BBB," Darden is the largest full-service restaurant company in America . It employs more than 190,000 team members, serving more than one million meals a day . Board assesses major risks facing Darden at least annually and reviews options for mitigation . Audit Committee oversees Darden’s financial reporting processes and internal controls .  Darden has a zero-tolerance policy for anyone who threatens or takes action against a team member for raising questions . Finance Committee: Helps ensure the company has a capital structure that is efficiently optimized to maximize returns to shareholders . Environmental performance, including energy and climate metrics, are reported to this committee annually .  Darden’s overall engagement is well above the average for both U.S. and international companies . 65% of our restaurant managers were promoted from our hourly ranks . Across all our brands, our hourly  team members earn, on average, more than $23 per hour .  The Darden Foundation has funded scholarships, fellowships and professorships through more than $5.5 million in endowments to universities across the country . ProStart is a two-year culinary arts and restaurant management program that introduces  high school students to career opportunities in the industry . More than 140 million pounds of excess food has been donated to charities .  Beef and dairy make up approximately 34% of all value chain emissions . 36% of the water we consume is in regions with high or extremely high water stress . Organic waste is the largest single component of our waste stream, making up more than one-third of our total waste by weight . 97% of Darden's beef supply was raised in North America in areas without deforestation risk .  The Darden Foundation provided grant funding to  the Rocky Mountain Rangelands Program to restore grazing lands for wildlife . 90+% of our restaurants have total quality programs in place at restaurants . We are audited by a third-party every quarter to ensure that our food safety protocols are upheld .  The Animal Welfare Council’s efforts are focused by working groups, which are subsets of the full council . Darden is working with suppliers to measure key welfare indicators that reflect the health of the environment the birds live . Social media, climate change, adverse weather, adverse adverse effects of climate change .  Of 293 Class 1 FDA and USDA recalls, only 6 impacted Darden's food products . Third party auditors inspect each restaurant regularly throughout the year to assess food safety . Darden established an Animal Welfare Policy to continue to ensure high level of care for farm animals in the food supply chain .  Darden conducted a climate risk assessment for its operations and supply chain based on guidance from TCFD . The long-term effects of climate change and global warming will result in more severe, volatile weather . Adverse weather conditions have in the past and may continue to impact guest traffic at our restaurants .  Darden installed a 4,500-panel solar array on the roof of our Restaurant Support Center in 2012 . The panels have a generating capacity of 1.1 megawatts (MW) of energy . Darden subscribed to 15 community solar farms across New York and Illinois .  GHG emissions (Location-based) 442,354 in 2024 in 2024 . Food waste  381,239,239; Diverted waste  17 . GHGs withdrawn in water stressed regions . at a cost of $1.2 billion per year . GHG . emissions at cost of at least $1 billion a year ."
"Dayforce, Inc.2024",AA," Dayforce ESG Report: 2023 was a tremendously successful year for Dayforce . This included $1.5 billion in annual revenue, nearly 6,400 customers, and over 6.8 million employees . Launching a Flexible Work Location program to allow employees seeking to explore working abroad with an opportunity to be temporarily based in one of 17 countries .  Cleo provides digital support system to working families navigating a variety of topics . Vori Health grants access to specialized doctors and therapists to address musculoskeletal pain and ailments . Twin Health helps individuals living with prediabetes and type 2 diabetes achieve normal blood sugar levels . RethinkCare gives parents access to tools and resources to help them better understand, teach and communicate with children who have learning and developmental disabilities .  The company was named one of Canada's Best Employers for Diversity by Forbes, special recognition for ACE program from Seramount . At Dayforce, URM (underrepresented minorities) are defined as Black and African American, Hispanic and Latino, American Indian and Alaska Native, and Native Hawaiian and Pacific Islander .  Dayforce Wallet provides people  fast access to their earned pay on demand whenever they need it most . Last year, we saw a 28% increase in the total  number of customers currently signed up for Dayforce . Over 90% of users said having access  to money quickly through Dayforce was important .  Dayforce Cares has provided more than $6.5 million in direct grants to over 4,500 families in the U.S. and Canada . The foundation in Mauritius helps underprivileged children and families by supporting local NGOs and schools . The new business travel booking portal displays the carbon impact of flight and hotel choices to employees .  Number of independent directors 8 Percentage of directors who are independent 89% Fully independent committees Yes Independent lead director Yes Average age of directors 62 Average director tenure 6.7 Mandatory retirement age No Number of female directors 31 Number of directors attending less than 80% of board and committee meetings . Annual say-on-pay vote and annual say-in-pay voting policy had no major or minor nonconformities .  Emergency Response discipline is responsible for the first 20 minutes of an incident with a primary focus on life safety . Disaster Recovery discipline aims to ensure the continuity of critical  business technology in the event of a disruptive incident . Data as of 12/31 of corresponding year 2022 and 2023 data includes Ascender and Excelity employees .  Dayforce used the Watershed climate platform to calculate its 2023 annual greenhouse gas (GHG) emissions . 2023 were 54,431 mtCO2e . Dedicated 80 hours of sick leave provided 11.5 weeks for primary and non-primary caregivers . Paid parental leave includes a 17-week period for new and expecting parents .  DNV found no evidence that the claims and assertions listed are not materially correct and are not a fair representation of data and information . Statement is for the sole use and benefit of the party contracting with DNV Business Assurance USA, Inc. Any use of or reliance on this document by any party other than the Client shall be at the sole risk of such  party .  Dayforce provides solutions for organizations of all sizes, from small businesses to global organizations . Our platform helps you manage the entire employee life cycle, from recruiting  to paying people and developing their careers . Brand promise is to 'make  work life life life better' and 'to make  life  better' for the public ."
Domino's Pizza Inc.2021,BBB," Domino’s Pizza Enterprises Ltd presents its first edition of its Sustainability Report . Report is a reflection of our Purpose and Values,  and of the journey of continuous improvement we are making to live up to . Domino's has called its approach to sustainability efforts: “Domino's for Good�? Committee is responsible for assessing the adequacy and effectiveness of the corporate reporting processes . Committee will ensure the accuracy and integrity of all information provided to the Board and to others outside the Company . Popular side items (side items) include garlic bread, chicken dishes, desserts, and salads .  Domino’s Pizza Enterprises Ltd. states that unlawful or unethical behaviour must be reported . Board has responsibility to investigate, and take appropriate action in relation to, all complaints or allegations which indicate that there may be illegal or unethical conduct by the company or any of its employees . Report includes the first quantifiable updates and targets on these five priority topics .  Denmark leads the pack with 60% representation, followed by Benelux on 30%, France 25% representation . The 2021 theme for IWD was #ChoosetoChallenge, which set the tone for an online social campaign . The survey covers all head office/commissary employees in Japan, Germany and Denmark .  Domino’s intends to be best practice in our industry, so each is taken seriously and addressed as part of the compliance program . Not all compliance breaches relate to the deliberate underpayment of wage . Domino's is focused on providing continuous employment as far as possible .  Pizza dough is vegan friendly, free of sugar and GMO and MSG (monosodium glutamate) free . Meat and fish reduced in special promotion pizzas by 25-33% with increases in plant-based alternatives . Domino's Germany's Vegan BBQ pizza was awarded the crown of ‘Best Vegan Pizza�?in the 2021 PETA Vegan Food Awards .  Domino’s Pizza Enterprises Ltd is aligned to the NIST CSF Version 1.1 (CyberSecurity) Domino's Pizza Enterprises . The partnership, commenced in November 2020, will deliver better welfare standards for animals and commit new sourcing standards for our European stores by 2026 . Next year we will formulate our vision across all of the animal proteins on our menu .  Domino’s Pizza Pizza Pizza will report on progress in setting science-based targets, our climate strategy and results we achieve . Land use is one of the main GHG drivers of food and agricultural companies . New Zealand operates 55 e-bikes and 67 UBCO's (e-scooters) 450 tonnes of cardboard recycled into supply chain centre this year compared to 60 tonnes last year .  Domino’s registered charity, Give for Good, has received 8 million microdonations this year . Feed the Knead program allows individuals to nominate someone they know who is doing it tough . Domino will roll out an internal ESG engagement starting in October 2020, to help Lifeline .  program next year of our food, and data privacy . We also intend to share our vision with a wider external audience later in FY22 . of this year . We will also share this vision with an audience of external audiences later this year's FY22, including external audience members . of the external audience ."
Domino's Pizza Inc.2022,BBB," Domino’s PIZZA ENTERPRISES LIMITED  SUSTAINABILITY  REPORT FY22 Chairman & CEO message . CEO message: ""Our workplace supports diversity and equal opportunities"" ESG is not the responsibility of one part of our  business, but instead is increasingly a shared responsibility for all of us .  Domino is serving a record number of customers who are increasingly ordering online with delivery to their homes . The COVID-19 pandemic brought forward the ‘Age of Delivery�?with significant growth in delivered food . 60% of consumers  willing to pay more for products and services offered by socially and environmentally responsible brands .  Domino’s for Good includes our five pillars, 2030 ambition, materiality topics and main KPIs . We continue to see rapid growth in our workforce, with approximately 100,000 team members working across our ten markets . All our food is high quality, ethically and sustainably sourced, delivered fast and delivered fast .  Taiwan has a high retention rate of females returning after having children . Store staff also receive equal pay . Taiwan is committed to proportional gender distribution . Most markets host an annual ‘rally�? an in-person  conference that is part awards show, part rock concert, part sports event . Path to Excellence is a bespoke personal and professional development platform delivered via customised mobile app and desktop interface .  Domino’s Germany has expanded this promotion to four days a week in Germany in FY23 . Pizza for �?�?offering in Germany allows customers to choose a second pizza for  �? after purchasing a menu-priced pizza . Food safety is a priority for Domino's, and in Europe we’re rolling out new technology to improve our safety standards .  Every store across our network was inspected at least four times this year . From 2023 all high potential risk suppliers will be required to have GFSI (Global Food Safety Initiative) certification . Without this certification, suppliers will  be audited by a third party to ensure they are achieving the required food safety standards . Domino's Pizza is committed to high animal welfare standards .  Domino's is one of the fastest growing pizza chains in the world . In FY22 we reduced the salt in our dough in Europe to a purely functional level . Our pizza dough is vegan friendly and MSG (monosodium glutamate) free . Our new mobile app (iOS and Android) is now available in Australia and New  Zealand and most European markets .  Domino's Pizza has increased its greenhouse gas emissions in FY22 with 7% . This is due to an increase in order counts and the growth of our business in terms of stores . The main contributors to our carbon footprint are purchased goods (50%) utilities (23%) and logistics (18%) Purchased goods are also the main contributor to land .  Beef is our largest contributor due to extensive rearing practices and the production of its feed-mix such as soy . Electricity accounts for 78% of utility consumption . Franchised stores are responsible for 79% of emissions linked to utilities . Delivery and pick-up from franchised stores generate roughly 63% of our logistics emissions .  Domino’s Partners Foundation in Australia and New Zealand has provided approximately $135,000 in assistance this year . Domino's was awarded the Corporate Philanthropist of the Year in FY22 by the Queensland Community Foundation . Our pizza boxes are made of 100% recycled cardboard5, all our pizza  boxes are recyclable .  Franchisees in Australia and New Zealand have agreed to make Domino's for Good Day a regular event . In FY22 we donated approximately 206,500 pizzas donated via 53,245 round ups . The corporate governance system is oriented toward the goal of  sustainable success .  Domino’s. are committed to preventing bribery and corruption . All stakeholders (employees,  franchisees, and the public) are encouraged to raise concerns they hold and can do so at an anonymity level of their choosing . Domino's Pizza is planning to expand its Corporate Risk register with climate-related risks and opportunities .  Report applies to our direct operations in ten markets where we maintain offices, corporate stores and other active direct operations . Confidence on procurement data is higher than market average as it is based on direct supplier data for ca. 50% of volumes . Deforestation assessment goes hand-in-hand with LUC assessment .  Domino’s Pizza Enterprises Ltd has reported the information cited in this GRI content index for the period from June 28, 2021 to July 3, 2022 with reference to the GRI Standards . Diverse, full time employees and full-time employees will not be guaranteed . Male and female employees are at least 5,485,000, with Diverse and 5,917 female .  Report: Corporate Governance - Nomination, Culture and  Remuneration Committee Charter . Report details the role of the highest governance body in overseeing the management of impacts and sustainability reporting . Total energy consumed (diesel, natural gas, propane, electricity): 71,654,273 kWh . Percentage of restaurants were inspected by restaurant inspectors . Domino's committed to all relevant labour laws and does .  No legal  proceedings related to labour  law violations and/or employee  discrimination that resulted  on monetary losses . Number of employees at  company owned locations: 17,298 2,774 employees at franchise locations:81,540 . No legal proceedings related  to labour law violations or employee discrimination resulting on monetary loss . not tolerate discrimination ."
Domino's Pizza Inc.2023,BBB," Domino’s CEO Marika Stegmeijer says the company is leading the way as the first QSR, and one out of the world's top five QSRs . Domino's aim is to achieve a better slice for everyone, from the farmers who grow our ingredients, to our franchise partners who make and deliver our food . Dairy and animal-based proteins accounted for 36% in FY23 of our total GHG emissions .  Domino navigated through natural disasters and conflicts that affected the supply of key ingredients and packaging . Lower run  times reduce  Cost of Delivery and lower  cost of delivery fuels Proﬁtability . Cyber incidents, such as a cyber incident, such a ransomware attack or a data breach, could disrupt our operations .  Pizza Hut believes in creating a 'better slice' for everyone . Responsible Sourcing Policy will replace the Business Partner Code of Conduct . Domino’s has ongoing interactions with  for-profit entities and specialised organisations . This includes the Australian Securities Exchange (ASX) and Fair Work Ombudsman .  Whistleblower cases reported at Domino's ANZ decreased by about 50% year-on-year in FY23 . Domino’s expects to see a further decline in  results in FY24 due to  a large-scale restructure of the business .  Domino's aim is to attract,  retain and engage with all our team members . Annual refresher course covers three key topics: Food safety, Driver safety and Allergen training . Global Rollout Plan continues to progress, with Netherlands and Japan due to be fully deployed by December 2023 .  Japan has a ‘No Accident�?campaign across all stores to raise awareness of traffic safety among our staff . Domino's  Japan crew also attended safe driving seminars with motorcycle police officers . The Handiwork Project, launched in October 2022, is a groundbreaking initiative aimed at introducing individuals with disabilities to our profession .  DPT carries out rotating on-site inspections of suppliers, prioritising high-risk ones . Suppliers that fall short of standards are given a specific time frame to correct their deficiencies . Domino’s ANZ has joined the SPCA Better Chicken Commitment Working Group . Responsible standards of food safety and hygiene is a top priority .  Sourcing Policy is due to be released to all DPE business partners by the end of 2023 . Customers can now save voucher codes to their account in their ‘Domino’s Wallet�?In European markets, many stores now offer customers convenient and easy-to-use kiosks for in-store ordering .  Domino’s committed to achieving net-zero emissions by 2050 . The main contributors to our carbon footprint are purchased goods (51%), utilities (29%) and logistics (14%) The main drivers are dairy (cheese) at 15% and meat (beef, pork and chicken) at 21% .  Domino’s food waste per meal is typically lower than that of the average household . 100% of our stores in the Benelux are supplied with Golf trays . In Japan more than 31% of all delivery vehicles are already electric (in Tokyo more than 61%), and in Taiwan we are committed to fully electrifying our fleet .  Domino donated 130,700 pizzas in ANZ and Japanese markets in FY23 . One Australian dollar from selected pizzas sold in more than 900 stores was donated to Give for Good . More than AUD 45,000 was raised to help support sick or vulnerable children . 117 of the 150 Domino's New Zealand stores held a national Doughraiser .  The entire value chain was considered, including upstream and downstream activities, particularly at the franchise restaurant level . The report has been prepared referencing internationally recognised reporting frameworks, namely the Global Reporting Initiative and the Sustainability Accounting Standards Board . For franchise restaurants, emissions related to collection from customers have been removed .  Domino’s PIZZA ENTERPRISES LTD | SUSTAINABILITY REPORT FY23 is published by the Australian National Institute of Public Service, a non-profit body . In FY22 sustainability report we disclosed 71,654,273 kWh consumed (diesel, natural gas, propane, electricity): 509,054,856 kWh .  Domino’s PIZZA ENTERPRISES LTD | SUSTAINABILITY REPORT FY23 94 95 95 . (3) percentage that is recyclable, reusable, and compostable FB-RN-150a.2 Quantitative Gigajoules (GJ)"
Eastman Chemical Company2023,A," Eastman is investing $2.25 billion to build three molecular recycling facilities . Dozens of major brands have already adopted Eastman Renew materials . PepsiCo has  agreed to purchase Renew materials from the second U.S. plant, and we are collaborating with some of the world’s largest consumer brands . Eastman established a target of 100% of growth R&D aligning with sustainable macro trends by 2030 .  Future second U.S. methanolysis facility will be built in Kingsport . Eastman updated its materiality matrix based on the importance our diverse set of external and internal stakeholders place on identified sustainability issues . Prioritization and effective management of these issues  and opportunities are .  Eastman began commissioning and startup activities at our methanolysis plant in Kingsport, Tenn., in 2023 . In 2022, we recycled 18.1 million pounds (8,000 MT) of plastic waste �?a more than 40% increase from 2021 volume . By 2025, Eastman expects to recycle 250 million pounds of plastic .  Around 260 million tons of plastic waste is disposed of each year, but only 10% is recycled . Three planned molecular recycling facilities will help solve the plastic waste crisis . Sandeep Bangaru, vice president for Eastman’s circular platform, offers his thoughts on why technologies are important .  Eastman Renew branded products use recycled materials to reduce plastic waste in landfills or incinerators . Stanley Black & Decker launched a new power tool line, reviva�? with housing made from Tritan�?Renew copolyester . Naia is a traceable circular fiber that's biodegradable and compostable .  Forbes recognizes Eastman for climate leadership . The recognition highlights highlights the importance of the company's use of renewable energy in 2022 . Eastman increased its use of Renewable Energy in 2022, and by 2030, 100% of our  purchased electricity in North America and Europe will be renewably sourced .  Adriel Gonzalez joined the life cycle assessment (LCA) team in January 2023 . Gonzalez is helping advance our understanding of Eastman’s Scope 3 greenhouse gas emissions . The France site will be able to achieve up to a 75% reduction in carbon footprint for polyester given renewable energy sources and low carbon fuel .  Longview, Texas, has been recognized as a Conservation Certification Gold site by the Wildlife Habitat Council . In 2023 there have been no OCS Blue reportable plastic pellet losses to the environment outside company-operated facilities . Eastman's OSHA recordable injury rate decreased by nearly 50% relative to first-half 2022 performance .  Saflex�?PVB interlayers for laminated glass don’t just help with beautiful design, they’re now configured for additional security applications . Eastman Keitex contains preservatives and  feed hygiene condition enhancers that prevent or reduce post-contamination growth Salmonella, E. coli, and other Enterobacteriaceae pathogens . Solus is industrially compostable and enables recycling of paper-based food packaging .  Kaamilya Clinkscales-Major is the Global Director of Inclusion and Diversity at Eastman . APEX is all about empowering the Asian and Pacific Islander community . ERG volunteers walked alongside Eastman’s parade float and handed out cards to community members with links to job openings .  Eastman is planning to start up our methanolysis plant in Kingsport, Tenn., in 2023 . The amount of plastic waste we recycled in 2022 was a more than 40% increase over our 2021 volume . OSHA recordable injury rate decreased by nearly 50% relative to first-half 2022 performance .  2022 SO2 value of 3,188 tons per year (tpy) represents a 70.8% reduction compared to the 2017 baseline of 10,900 tpy . The selection by management of different but acceptable measurement techniques could have resulted in materially different amounts or metrics being reported . We are not aware of any material modifications that should be made to Eastman’s assertion in order for it to be fairly stated .  As of July 1, 2022, collective bargaining agreements covered approximately 5% of Eastman’s U.S.-based workforce . No significant risks related to corruption were reported or identified through the risk assessment . No public legal cases regarding corruption were brought against the company or its employees .  87% of Eastman's energy consumption would be from renewable sources . Eastman is not aware of any significant impact on any water source . At our largest manufacturing facilities in Kingsport,  Tennessee, and Longview, Texas, rivers provide thriving  habitats for wildlife communities .  Eastman has not identified any noncompliance with regulations or voluntary codes regarding product and service information and labeling . Eastman implemented the Globally Harmonized System of Classification and Labelling of Chemicals . The Board Stockholder Communication and Engagement Policy is available by clicking here . Manufacturing facilities will in the future be impacted by carbon requirements .  Eastman estimates the financial impact of carbon pricing in the U.S. on the company to be approximately $10 million to $50 million if such a concept became law . Eastman anticipates its molecular recycling initiatives could contribute  approximately $500 million  to $1 billion of new business revenue in the coming years . Northeast Tennessee Hub is a new organization .  Eastman entered into a new four-year partnership with Prairie View Agriculture and Mechanical (A&M) University, an HBCU located in Prairie View, Texas, in 2022 . Internships include hourly pay rate of $15, compared to Tennessee's minimum wage of $7.25 . Eastman experienced a high-pressure steam line failure at its  Kingsport manufacturing facility in January 2022 .  Eastman is committed to reducing absolute greenhouse gas emissions by one-third by 2030 and aspires to be carbon neutral by 2050 . The Task Force on Climate-related Financial Disclosures helps companies understand what financial markets want from . Eastman’s total global voluntary turnover rate was 6.0% .  Index provides the location of Eastman’s information pertaining to SASB standards for what SASB refers to as the “resource transformation�?sector . 7.4% of emissions are covered under ETS regulations, CDP Climate Change Response . When handling and storing our products are available online or by request .  Eastman brands referenced herein are trademarks of Eastman or one of its subsidiaries or are being used under license . The Eastman brand is a brand that Eastman  should be  observed . Eastman is a trademark brand that is being used in conjunction with the brand of its products ."
Eastman Chemical Company2024,BBB," Eastman began commissioning and startup activities at our methanolysis plant in Kingsport, Tenn., in 2023 . Methanolysis outperforms fossil-based DMT in 13 of 14 environmental impact categories . The Kingsport facility will recycle 110,000 metric tons of polyester waste annually .  This Green Bond report includes “forward-looking statements�?within the meaning of the U.S. Private Securities Litigation Reform Act of 1995 . Only the information included in the management assertion of Eastman on page 10 is part of our examination engagement . The other information in the Eastman 2024 report has not been  subjected to the procedures applied in our examination .  Based on a basis basis basis . basis basis is the basis basis of a person's life . basis for a person’s life in the United States. basis basis for life in a country . basis of residence basis is based in New York City, New York, New Jersey ."
"Enphase Energy, Inc.2020",BB ," Revenue nearly doubled in 2019 to $624.3 million, from $316.2 million in 2018 . 2019 was the first full year of GAAP profitability in Enphase’s history . Enphase Energy's first female director, Jamie Haenggi, was appointed .  Enphase had 789 employees, 41% of which was in North America . 40% was in India, 12% in Australia and New Zealand; 5% in Europe; 2% in China . 78 kW solar array expected to generate about 934,722 kWh . 5,000 yd³ of waste every year and about 50% is recycled .  Enphase's vision has always been to make solar simple and energy smart . We work with GRID Alternatives to help power the United States�?low-income communities at no cost . With Enphase’s technology, GRID helps individual homeowners by installing residential solar systems on their single-family homes .  Enphase does not use cobalt in its batteries as this mineral represents an increased risk of being sourced from areas that have unfair labor practices . Suppliers must comply with all international standards  and applicable laws regarding slavery and human trafficking . 7 of our 10 offices are ISO 14001 compliant .  Enphase does not produce a lot of hazardous waste or material except for labs conducting research and development . The storage system helps communities around the world be more resilient in the face of natural disasters and grid outages . Enphase has prioritized the growth of its R&D teams globally, including in India which now contains 40% of total company employees .  Company believes the adjusted free cash flow is the best measure of how much cash the business generates after accounting for capital  expenditures . The Company excludes stock-based compensation expense because they are non-cash in nature . The most directly comparable GAAP financial measure can be found on page 43 of this report .  Cash flow from acquisition  reported  reported in cash flows  from operating activities - - 6.0% . Cash flow  from acquisition reported   from  operating activities  - -  6.0%. Cash flow of acquisition reported in acquisition   reported cash flows from operating income from operating activities from operating activities ."
"Enphase Energy, Inc.2021",BBB," IQ8 fundamentally changes the paradigm for solar technology, which otherwise requires a grid connection to operate . Enphase Energy has transformed the solar industry with our revolutionary microinverter technology which enables sunlight to be a safe, reliable, resilient, and scalable source of energy . IQ8 is committed to making home energy systems innovative, high-quality, and easy-to-use .  In 2021 our actual results were approximately 41-16-25, beating the baseline financial model in terms of gross margin and operating income . 2021 GAAP net income was $145.4 million, resulting in diluted earnings per share of $1.02 . 100% of Enphase's facilities are ISO 14001:2015 certified .  Enphase’s e-waste generated across operations in North America, India,  and New Zealand are recycled 100% 100% . Standing desks were added in the corporate office space to promote physical movement and physical movement . We conscientiously select supplies for our facilities that have a low environmental impact .  Enphase leverages diverse employee referral programs, seeks talent from specialized conferences, such as the Grace Hopper Conference . Enphase is committed to human rights and responsible supply chain . Access to clean, reliable, and affordable energy is a basic human right . The company also takes seriously its responsibility to protect, preserve, and promote human rights around the world .  Enphase has installed nearly 9,000 systems in low-income communities across the U.S. using Enphase technology . These homes in aggregate can enjoy an estimated lifetime savings of more than $235 million and help prevent nearly nearly a million premature deaths . “Potential suppliers are rigorously screened for quality, including environmental and social criteria�? IQ Batteries in APS’s service territory have two ways to participate and earn money through one-time, upfront incentives . Customers who sign up for the program and simply share their data with APS will earn $500 per installed kilowatt of battery capacity . Alternatively, homeowners can enroll in the program, share  their data, and allow the utility to use stored energy from their batteries on demand .  Grid services will provide value to homeowners that install solar and install solar, GridBright says . Enphase Energy and the U.S. Department of Energy support GridBright and the University of Pittsburgh on a research project . California is one of only three companies participating in the state’s “Bring Your Own Device�?battery program .  G4 says it has implemented a combination of organizational, technical, and physical safeguards designed to ensure the confidentiality, integrity, and accuracy of information . The composition of our seven-person board reflects a variety of backgrounds, experiences, and tenures . ERM Committee annually identifies  and assesses all key company risks and monitors risk mitigation efforts . Risk events are assessed by cross functional employees each year .  All information included in this report is for the twelve-month period ended December 31, 2021, unless otherwise stated . References to ‘we,�?‘us,�?‘our�?or ‘Enphase�?throughout this report pertain to Enphase Energy, Inc. This report and materials or websites cross-referenced .  This report contains non-GAAP financial measures relating to our performance . References and hyperlinks  throughout this document are provided for convenience only . The information included in, and any issues identified as material for purposes of, this document may not be considered material for SEC reporting purposes ."
"Enphase Energy, Inc.2022",A," IQ8 Microinvers can restart a home energy system using Sunlight Jump Start�?feature, which can restart  home energy systems using sun . IQ8's grid-form technology eliminates traditional ratios between solar systems and battery sizes . Smart EV chargers will provide connectivity and control, enabling use cases like green charging .  In 2022, revenue  increased 69% year-over-year to $2.3 billion, compared to $1.4 billion in 2021 . IQ8 Microinverters in France and the Netherlands; approximately 58 million millennials shocked since inception . The Enphase University platform is on-demand and supported by a team of 24 employees worldwide .  28 Enphase EV chargers have a charging current range  between 32 amperes and 64 ampereres . All battery waste is processed thermally or chemically to recover valuable metals such as nickel, lithium, cobalt and copper . Enphase IQ7A�?microinverters were used in a rooftop solar energy project on the new Sydney Football Stadium .  Solar energy system size of annual energy consumption estimated as annual production 17.8 kW 30% . Enphase is a signatory to the corporate ‘ParityPledge�?alongside a significant number of established corporations in support of women and people of color in the workplace . Clean energy support for a summer camp in Haute-Savoie, France .  In 2022, Enphase had zero reportable notices of health and safety violations, worldwide . Access to clean, reliable, and affordable energy as a basic human right . Enphase has been partnering with GRID Alternatives, a national non-profit leader, for over a decade .  Enphase donated hundreds of IQ Microinverters to support the project, which will ultimately decrease the operating costs of the facility . Solstar, to donate a 6 kW system to the UNESCO Sost Transcriativa Home, based in a quilombola community in Bahia . Hawaiian Electric’s Battery Bonus grid  services program offers incentive for homeowners on the island of Oahu who install a new home battery .  PG&E is providing battery systems at no cost to approximately 100  residential customers who have been frequently impacted by outages . Illinois is developing a new storage program to provide additional resilience features for the grid . Hawaii Electric will help ensure that Hawaii’s distributed generation . customers have a reliable and effective program to compensate them for the benefit their systems can provide . Enphase sits on multiple Standards .  The Board believes having an Independent Chair creates an environment that is more conducive to objective evaluation and oversight of management’s performance . Australia committees to work on technical standards that govern solar installations and inverters . The Nominating and Corporate Governance Committee oversees ESG matters including strategy, initiatives, policies and outreach to investors and other interested stakeholders .  “Our data privacy program includes record-keeping, communications, and practices that are formed using the world’s strictest standards . Every processing activity follows this framework, which ensures that we treat our employees, customers, partners, and consumers in the proper way . We commit to not “sell�?personal information .  Electricity and heat consumption were converted to MTCO2e using emission factor data . Hydrofluorocarbons (HFCs) are excluded from our inventory . The following responses are not meant to be an exhaustive review of climate-related financial disclosures . Infrastructure investments and services supported .  Directors oversees company strategy, including all climate risks and opportunities . ESG working groups manage progress toward climate-related goals and targets . Supporting activities across global operations are tracked and rolled up into corporate dashboards . Successful execution reduces GHG emissions, slows the pace of global warming, and accelerates the transition to a clean, accessible, accessible environment .  Renewable energy directly reduces GHG emissions and mitigates climate risk . Enphase microinverters boast the highest levels of reliability, and  our next generation off-grid solutions . CEO performance modulates bonuses paid out to all employees resulting from product product . Delaying operational decarbonization could limit access to third-party capital and affect operating costs or reputation .  Management’s assertion included in the Environmental, Social, andGovernance Report 2022 . The term “material�?is distinct from and should not be confused with, such term as defined for SEC reporting purposes . 2,017 thousand shares were sold in the sale of 2,000 shares of convertible notes . The notes were sold for $1 billion .  $1.2 billion in interest in U.N. bonds, $2.1 billion worth of interest in shares . $1 billion in cash and interest in the company's U.S. convertible notes . $2 .1 billion of that money was invested in shares, $1 .2 billion of it was in the form of $3 billion of interest from the company ."
